photophosphorylation,TraesCS7D02G549100
photophosphorylation,TraesCS7A02G276000
photophosphorylation,TraesCS7B02G173700
photophosphorylation,TraesCS7D02G275900
photophosphorylation,TraesCS6A02G408400
photophosphorylation,TraesCS6B02G454500
photophosphorylation,TraesCS6D02G392300
photophosphorylation,TraesCS5B02G516600
photophosphorylation,TraesCS5D02G516700
photophosphorylation,TraesCS5A02G077900
photophosphorylation,TraesCS5B02G087800
photophosphorylation,TraesCS5D02G094000
photophosphorylation,TraesCS5A02G498500
cysteine disulfide formation,TraesCS5A02G498500
photophosphorylation,TraesCS7A02G414600
photophosphorylation,TraesCS7B02G314500
photophosphorylation,TraesCS7D02G407700
photophosphorylation,TraesCS5D02G009300
photophosphorylation,TraesCS5D02G221500
photophosphorylation,TraesCS5D02G559600
photophosphorylation,TraesCS7B02G046500
photophosphorylation,TraesCS5A02G110300
photophosphorylation,TraesCS5B02G111800
photophosphorylation,TraesCS5D02G118500
photophosphorylation,TraesCS7A02G563600
photophosphorylation,TraesCS7D02G547400
photophosphorylation,TraesCS6A02G084200
photophosphorylation,TraesCS6B02G112800
photophosphorylation,TraesCS6D02G077700
photophosphorylation,TraesCS7A02G547500
proteolysis,TraesCS7A02G547500
photophosphorylation,TraesCS7B02G471600
proteolysis,TraesCS7B02G471600
photophosphorylation,TraesCS7D02G534500
proteolysis,TraesCS7D02G534500
photophosphorylation,TraesCS7A02G188300
reactive oxygen-induced signalling,TraesCS7A02G188300
proteolysis,TraesCS7A02G188300
photophosphorylation,TraesCS7A02G471000
reactive oxygen-induced signalling,TraesCS7A02G471000
proteolysis,TraesCS7A02G471000
photophosphorylation,TraesCS7B02G093400
reactive oxygen-induced signalling,TraesCS7B02G093400
proteolysis,TraesCS7B02G093400
photophosphorylation,TraesCS7B02G373000
reactive oxygen-induced signalling,TraesCS7B02G373000
proteolysis,TraesCS7B02G373000
photophosphorylation,TraesCS7D02G189400
reactive oxygen-induced signalling,TraesCS7D02G189400
proteolysis,TraesCS7D02G189400
photophosphorylation,TraesCS7D02G458400
reactive oxygen-induced signalling,TraesCS7D02G458400
proteolysis,TraesCS7D02G458400
photophosphorylation,TraesCS5A02G219000
photophosphorylation,TraesCS5A02G219300
photophosphorylation,TraesCS5A02G219400
photophosphorylation,TraesCS5A02G219500
photophosphorylation,TraesCS5A02G219600
photophosphorylation,TraesCS5A02G219700
photophosphorylation,TraesCS5B02G217900
photophosphorylation,TraesCS5B02G218200
photophosphorylation,TraesCS5B02G218400
photophosphorylation,TraesCS5B02G218500
photophosphorylation,TraesCS5B02G218600
photophosphorylation,TraesCS5D02G226900
photophosphorylation,TraesCS5D02G227000
photophosphorylation,TraesCS5D02G227300
photophosphorylation,TraesCS5D02G227400
photophosphorylation,TraesCS5D02G227500
photophosphorylation,TraesCS5D02G227600
photophosphorylation,TraesCS5D02G227700
photophosphorylation,TraesCS7A02G213700
photophosphorylation,TraesCS7B02G120900
photophosphorylation,TraesCS7D02G215700
photophosphorylation,TraesCS6A02G212200
photophosphorylation,TraesCS6B02G242800
photophosphorylation,TraesCS6D02G195400
photophosphorylation,TraesCS7A02G286700
protein folding,TraesCS7A02G286700
EC_5 isomerases,TraesCS7A02G286700
photophosphorylation,TraesCS7B02G199200
protein folding,TraesCS7B02G199200
EC_5 isomerases,TraesCS7B02G199200
photophosphorylation,TraesCS7D02G283600
protein folding,TraesCS7D02G283600
EC_5 isomerases,TraesCS7D02G283600
photophosphorylation,TraesCS7A02G315700
photophosphorylation,TraesCS7A02G501700
photophosphorylation,TraesCS7B02G216700
photophosphorylation,TraesCS7B02G409100
photophosphorylation,TraesCS7D02G312700
photophosphorylation,TraesCS7D02G312800
photophosphorylation,TraesCS7D02G489100
photophosphorylation,TraesCS7A02G286400
photophosphorylation,TraesCS7B02G196800
photophosphorylation,TraesCS7D02G283700
photophosphorylation,TraesCS5A02G174900
photophosphorylation,TraesCS5B02G174100
photophosphorylation,TraesCS5D02G181100
photophosphorylation,TraesCS6B02G093300
photophosphorylation,TraesCS5A02G081900
photophosphorylation,TraesCS5B02G083300
photophosphorylation,TraesCS5B02G084500
photophosphorylation,TraesCS5D02G090700
photophosphorylation,TraesCS5A02G247100
photophosphorylation,TraesCS5B02G244200
photophosphorylation,TraesCS5D02G253600
photophosphorylation,TraesCS6A02G292800
photophosphorylation,TraesCS6A02G314600
photophosphorylation,TraesCS6B02G323200
photophosphorylation,TraesCS6B02G344600
photophosphorylation,TraesCS6D02G273900
photophosphorylation,TraesCS6D02G293900
photophosphorylation,TraesCS7A02G175800
photophosphorylation,TraesCS7A02G206700
photophosphorylation,TraesCS7B02G081000
photophosphorylation,TraesCS7B02G114100
photophosphorylation,TraesCS7D02G177200
photophosphorylation,TraesCS7D02G177300
photophosphorylation,TraesCS7D02G209600
photophosphorylation,TraesCS7A02G413800
