SampleName,FileName,Genotype,Treatment
BMW_248,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_248/abundance.tsv,BMW_2095,control
BMW_291,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_291/abundance.tsv,BMW_2095,control
BMW_190,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_190/abundance.tsv,BMW_2095,control
BMW_286,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_286/abundance.tsv,BMW_2095,stress
BMW_300,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_300/abundance.tsv,BMW_2095,stress
BMW_150,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_150/abundance.tsv,BMW_2095,stress
BMW_233,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_233/abundance.tsv,BMW_2095,stress
BMW_163,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_163/abundance.tsv,BMW_2297,control
BMW_263,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_263/abundance.tsv,BMW_2297,control
BMW_301,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_301/abundance.tsv,BMW_2297,control
BMW_213,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_213/abundance.tsv,BMW_2297,control
BMW_126,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_126/abundance.tsv,BMW_2297,stress
BMW_246,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_246/abundance.tsv,BMW_2297,stress
BMW_191,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_191/abundance.tsv,BMW_2297,stress
BMW_265,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_265/abundance.tsv,BMW_2297,stress
BMW_278,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_278/abundance.tsv,BMW_2352,control
BMW_283,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_283/abundance.tsv,BMW_2352,control
BMW_203,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_203/abundance.tsv,BMW_2352,control
BMW_165,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_165/abundance.tsv,BMW_2352,control
BMW_138,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_138/abundance.tsv,BMW_2352,stress
BMW_273,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_273/abundance.tsv,BMW_2352,stress
BMW_188,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_188/abundance.tsv,BMW_2352,stress
BMW_255,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_255/abundance.tsv,BMW_2321,control
BMW_148,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_148/abundance.tsv,BMW_2321,control
BMW_173,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_173/abundance.tsv,BMW_2321,control
BMW_293,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_293/abundance.tsv,BMW_2321,control
BMW_143,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_143/abundance.tsv,BMW_2321,stress
BMW_196,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_196/abundance.tsv,BMW_2321,stress
BMW_218,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_218/abundance.tsv,BMW_2321,stress
BMW_295,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_295/abundance.tsv,BMW_2321,stress
