modules,High_control_BMW_2007,High_control_BMW_2218,High_control_BMW_2364,High_control_BMW_2496,High_stress_BMW_2007,High_stress_BMW_2218,High_stress_BMW_2364,High_stress_BMW_2496,Low_control_BMW_2095,Low_control_BMW_2297,Low_control_BMW_2321,Low_control_BMW_2352,Low_stress_BMW_2095,Low_stress_BMW_2297,Low_stress_BMW_2321,Low_stress_BMW_2352
MEnavajowhite3,0.173776553,0.001107302,0.061973965,0.552669788,0.006151604,0.007874282,6.92E-87,0.00030656,0.067716199,0.001093342,0.237358407,0.177659377,0.002258264,0.173058095,0.000575515,6.11E-76
MEroyalblue,0.381531855,0.214448037,0.027897779,0.368177527,0.012801331,0.00704297,0,0.008549635,0.371370181,0.171039544,0.224554882,0.48381728,0.281283292,0.490768103,0.098085339,0.011372938
MEchocolate2,1.62E-37,0.003440383,5.60E-41,0.026892626,9.69E-23,2.72E-05,1.24E-16,5.49E-05,0.004843317,0.000608991,0.002021799,0.024535895,0.0001473,1.52E-05,3.81E-05,3.96E-05
MEorangered1,3.31E-07,3.66E-13,7.67E-08,2.64E-06,1.14E-05,8.78E-19,0.000124767,2.91E-05,1.70E-13,3.85E-16,2.42E-09,1.81E-05,2.08E-17,9.17E-16,4.20E-07,4.63E-05
MEorangered3,6.43E-18,7.23E-08,0.000205841,0.020441653,2.84E-20,9.27E-08,0.003121134,0.280319239,1.29E-09,1.31E-07,1.36E-07,4.22E-20,3.25E-11,2.91E-07,2.28E-10,2.55E-20
MEbrown3,2.31E-16,4.71E-08,6.84E-11,5.70E-10,2.28E-16,1.14E-08,0.000104039,3.92E-07,2.17E-13,1.53E-13,4.54E-10,0.941862066,4.49E-16,1.58E-10,4.22E-10,0.680439892
MEantiquewhite1,5.51E-05,1.61E-05,0.000109611,0.761954785,1.04E-05,4.91E-06,0.00515254,0.300560373,1.98E-28,3.25E-27,7.08E-05,0.000285829,8.29E-29,8.60E-24,1.29E-06,6.64E-07
MEpaleturquoise,0.0045019,0.006932263,0.030521229,0.049946603,0.021860184,0.013188488,0.053817929,0.108601562,0.02194716,1.19E-88,0.006615601,0.011559488,0.012943324,7.55E-79,0.050620641,0.058412207
MEgreen3,0.255681729,0.054186368,0.082416881,0,0.010719824,0.179175933,0.00983228,0.010507846,0.107109051,0.14427227,0.387461983,0.200742413,0.116507501,0.080413811,0.201992554,0.047171905
MEtan2,0.301331649,0.005534376,0.093323593,1.08E-86,0.010218497,0.009646253,0.000422846,0.0030955,3.31E-79,0.104995258,0.082707226,0.020745633,0.054672731,0.012142877,0.03581617,0.015081185
MElightblue4,1.17E-05,1.28E-27,0.00199711,0.000510686,2.93E-06,8.75E-34,9.97E-05,9.23E-07,2.45E-07,4.81E-26,0.090756466,6.16E-05,1.85E-06,6.94E-18,0.332747427,2.59E-05
MEroyalblue3,0.680251657,1.36E-10,4.04E-17,4.40E-08,0.229651759,4.81E-17,2.45E-12,1.74E-07,1.05E-12,9.56E-14,5.61E-08,1.20E-09,1.30E-08,1.34E-13,8.48E-08,1.07E-08
MEdarkolivegreen2,3.83E-07,1.61E-06,7.59E-11,0.763402115,4.39E-09,2.89E-06,1.51E-11,0.243483248,3.24E-15,2.27E-08,1.78E-08,6.64E-13,5.59E-17,1.01E-07,7.89E-14,4.93E-21
MEpink4,7.43E-08,0.725556196,1.27E-26,2.67E-09,4.44E-08,0.346072839,1.03E-28,6.51E-06,2.06E-21,0.062369002,7.49E-05,4.34E-07,5.00E-26,0.714058711,2.57E-06,0.000106311
MEmagenta1,1.96E-05,7.40E-06,0.659629632,2.44E-26,9.26E-05,7.07E-05,0.323736046,5.36E-29,0.000888191,0.00043391,4.91E-27,1.90E-05,7.19E-05,0.000427753,8.61E-30,3.69E-06
MEcoral3,1.38E-09,3.24E-06,0.000151712,1.39E-15,3.65E-08,8.72E-09,3.13E-06,2.07E-27,0.522998813,1.83E-21,2.78E-05,7.20E-10,0.133835647,4.94E-16,5.66E-08,6.89E-10
MEfirebrick2,6.34E-06,5.25E-16,2.73E-08,3.26E-06,2.10E-08,2.63E-25,5.78E-06,7.04E-08,0.002356165,4.23E-09,1.22E-05,5.68E-18,0.129775223,5.82E-06,8.11E-10,2.29E-22
MEgreen2,3.94E-06,2.22E-12,0.167308189,6.99E-07,5.94E-11,1.14E-17,0.48836071,6.95E-10,2.08E-08,3.97E-08,3.80E-16,1.20E-13,8.45E-08,2.93E-07,2.28E-14,8.41E-16
MEpaleturquoise4,0.003760492,1.89E-05,1.59E-05,0.46230358,0.000372314,4.18E-05,2.08E-06,0.712539694,1.44E-05,7.02E-05,3.11E-28,9.32E-23,1.37E-05,4.02E-06,1.08E-28,1.43E-29
MEmistyrose,1.56E-08,1.54E-08,4.13E-05,1.07E-09,1.15E-09,9.08E-11,1.24E-06,1.53E-16,6.87E-10,5.15E-13,0.300830159,1.33E-09,5.84E-11,2.07E-17,0.014134852,6.13E-18
MEsalmon2,0.008451149,1.42E-23,0.000155248,0.000667488,4.63E-05,2.32E-35,0.040941779,0.00095585,4.71E-25,4.65E-05,0.001931798,0.000331282,4.80E-32,2.72E-05,0.000359326,8.59E-05
MElightcyan1,0.381077666,0.174210711,0.220298509,0.099909528,0.057032284,0.010283655,0.027916783,0.035089428,0,0.162467837,0.453141695,0.438795295,0.120469914,0.146469978,0.114972044,0.06509402
MEpink3,4.30E-30,2.71E-05,8.27E-05,0.000853553,8.00E-34,0.000121737,0.135945255,0.00468045,1.58E-25,0.000536573,0.000243552,0.001260297,6.32E-26,9.23E-05,0.000185007,4.85E-05
MElightsteelblue1,0.048051143,0.009195774,0.024593306,0.014713779,0.013409533,0.012345113,0.101859611,0.016010099,1.18E-31,0.021263578,0.042431697,0.026339925,6.64E-189,0.134603419,0.018186963,0.045199573
MEpalevioletred1,0.002111454,0.872716452,5.91E-08,7.65E-20,0.000735757,0.418401813,6.04E-05,1.46E-30,1.33E-23,1.06E-06,0.000283805,0.000112417,2.90E-35,2.20E-05,3.21E-06,5.21E-05
MEgrey,0.254577794,2.82E-19,1.19E-08,1.09E-13,0.000213811,2.92E-39,9.62E-09,4.36E-08,0.124611927,1.12E-05,0.939275308,1.01E-08,4.80E-08,4.97E-14,0.892908613,1.85E-18
